1.00 8.00 66 2018-10-23-20:33:21
f5:93:4c:a6:d9:16 -71 b | -71 -71
cf:20:a9:08:f3:ed -80 b | -80
c1:00:91:00:01:2d -64 b | -64 -83
ac:23:3f:20:9c:ac -70 b | -70 -65
c1:00:91:00:01:2f -77 b | -77
c5:58:c1:21:15:fe -88 b | -88 -90
ac:23:3f:20:8d:34 -68 b | -68 -69 -69
ac:23:3f:20:8d:3b -77 b | -77
ac:23:3f:20:94:cc -71 b | -71 -71
ac:23:3f:20:8d:39 -58 b | -58 -60 -54
ac:23:3f:20:8d:32 -81 b | -81 -76
ac:23:3f:20:94:cd -85 b | -85 -80
ac:23:3f:20:9c:ae -60 b | -60 -64 -65
ac:23:3f:20:8d:37 -70 b | -70
ac:23:3f:20:8d:36 -71 b | -71 -71 -71
e5:a2:a5:b0:d4:ad -79 b | -79 -80
ac:23:3f:20:8d:2f -58 b | -58 -56 -56
ac:23:3f:20:8d:3a -71 b | -71 -80
ac:23:3f:20:8d:30 -59 b | -59 -56 -56
ac:23:3f:20:8d:33 -91 b | -91 -69
ac:23:3f:20:8d:38 -77 b | -77 -71
34:fc:b9:7a:cb:a3 -50 w | -50 -50 -50
40:e3:d6:5d:9c:64 -68 w | -68 -69 -67 -67
40:e3:d6:5d:54:e5 -72 w | -72 -73 -73 -73
40:e3:d6:5d:9c:60 -68 w | -68 -70 -66 -66
74:da:38:67:6e:16 -89 w | -89 -89
40:e3:d6:5d:c8:85 -46 w | -46 -54 -49 -50
34:fc:b9:7a:cb:a4 -48 w | -48 -51 -48 -51
40:e3:d6:5d:54:e1 -74 w | -74 -75 -74 -75
40:e3:d6:5e:d3:44 -76 w | -76 -75 -76
40:e3:d6:5d:80:00 -83 w | -83 -83 -81 -81
40:e3:d6:5d:9c:61 -67 w | -67 -69 -66 -66
40:e3:d6:5d:ed:44 -78 w | -78 -78 -78
40:e3:d6:5d:54:e0 -76 w | -76 -74 -75
40:e3:d6:5d:c8:84 -48 w | -48 -55 -50 -50
40:e3:d6:5d:80:01 -86 w | -86 -80 -80
40:e3:d6:5e:d3:40 -76 w | -76 -76 -76
40:e3:d6:5d:ed:40 -74 w | -74 -78 -78 -78
40:e3:d6:5d:ed:42 -78 w | -78 -78 -78
84:d4:7e:73:d7:01 -82 w | -82 -82 -82
40:e3:d6:5d:c8:80 -49 w | -49 -55 -50 -50
40:e3:d6:5d:ed:41 -78 w | -78 -78 -78
40:e3:d6:5d:c5:e1 -82 w | -82 -82 -82 -82
40:e3:d6:5d:9c:62 -67 w | -67 -69 -66 -66
34:fc:b9:7a:cb:a1 -50 w | -50 -50 -50
40:e3:d6:5d:c5:e5 -79 w | -79 -79 -83 -84
40:e3:d6:5d:c8:82 -48 w | -48 -55 -51 -50
b0:6e:bf:3b:ab:80 -30 w | -30 -33 -35 -35
40:e3:d6:5d:54:e2 -73 w | -73 -76 -73 -74
40:e3:d6:5d:c5:e2 -81 w | -81 -81 -81 -81
40:e3:d6:5e:d3:45 -78 w | -78 -77 -78
40:e3:d6:5d:9c:65 -63 w | -63 -64 -61 -61
40:e3:d6:5d:80:05 -83 w | -83 -84 -81 -81
34:fc:b9:7a:cb:a2 -50 w | -50 -50 -50
84:d4:7e:73:d7:05 -82 w | -82 -82 -82
3c:52:82:a8:98:ae -84 w | -84 -86 -86 -88
34:fc:b9:7a:cb:a0 -50 w | -50 -50 -50
40:e3:d6:5d:54:e4 -74 w | -74 -74 -74
40:e3:d6:5d:c8:81 -48 w | -48 -55 -51 -50
40:e3:d6:5d:80:02 -81 w | -81 -81 -80 -80
40:e3:d6:5d:c5:e4 -81 w | -81 -81 -81 -81
40:e3:d6:5e:d3:42 -75 w | -75 -76 -76
40:e3:d6:5d:ed:45 -76 w | -76 -75 -75 -75
40:e3:d6:5d:c5:e0 -81 w | -81 -81 -81 -81
40:e3:d6:5e:d3:41 -76 w | -76 -75 -76
40:e3:d6:5d:80:04 -84 w | -84 -81 -81

2.20 8.00 60 2018-10-23-20:33:34
f5:93:4c:a6:d9:16 -68 b | -68 -70
cf:20:a9:08:f3:ed -82 b | -82 -82 -81
c1:00:91:00:01:2d -86 b | -86
ac:23:3f:20:9c:ac -66 b | -66 -66
c5:58:c1:21:15:fe -93 b | -93 -93 -94
c1:00:91:00:01:2f -71 b | -71 -67 -72
ac:23:3f:20:8d:34 -71 b | -71 -89
ac:23:3f:20:94:cc -79 b | -79
ac:23:3f:20:8d:32 -67 b | -67 -71 -72
ac:23:3f:20:8d:39 -65 b | -65 -71 -63
ac:23:3f:20:9c:ae -58 b | -58
ac:23:3f:20:8d:37 -80 b | -80 -69
ac:23:3f:20:8d:36 -67 b | -67 -66
e5:a2:a5:b0:d4:ad -85 b | -85 -94
ac:23:3f:20:8d:2f -67 b | -67 -63 -63
ac:23:3f:20:8d:3a -78 b | -78 -80
ac:23:3f:20:8d:30 -64 b | -64 -60 -62
ac:23:3f:20:8d:38 -77 b | -77 -79
34:fc:b9:7a:cb:a3 -53 w | -53 -53 -52
40:e3:d6:5d:54:e5 -73 w | -73 -80 -80 -81
40:e3:d6:5d:9c:64 -67 w | -67 -66 -68 -68
40:e3:d6:5d:9c:60 -67 w | -67 -67 -68 -68
34:fc:b9:7a:cb:a4 -47 w | -47 -53 -51 -51
40:e3:d6:5d:c8:85 -48 w | -48 -44 -47 -47
40:e3:d6:5d:54:e1 -81 w | -81 -83 -80 -79
40:e3:d6:5e:d3:44 -71 w | -71 -71 -72
40:e3:d6:5d:80:00 -83 w | -83
40:e3:d6:5d:9c:61 -67 w | -67 -66 -68 -68
40:e3:d6:5d:ed:44 -73 w | -73 -78 -78 -78
40:e3:d6:5d:54:e0 -82 w | -82 -83 -83 -79
40:e3:d6:5d:c8:84 -48 w | -48 -45 -46 -47
40:e3:d6:5e:d3:40 -72 w | -72 -72 -74
40:e3:d6:5d:80:01 -83 w | -83
40:e3:d6:5d:ed:40 -73 w | -73
40:e3:d6:5d:ed:42 -79 w | -79 -79 -79
84:d4:7e:73:d7:04 -77 w | -77 -77 -77 -77
40:e3:d6:5d:c8:80 -48 w | -48 -46 -47 -47
40:e3:d6:5d:c5:e1 -85 w | -85 -82 -84 -84
40:e3:d6:5d:9c:62 -67 w | -67 -66 -68 -68
34:fc:b9:7a:cb:a1 -53 w | -53 -53 -52
40:e3:d6:5d:c5:e5 -86 w | -86 -83 -85 -85
40:e3:d6:5d:c8:82 -48 w | -48 -46 -46 -47
b0:6e:bf:3b:ab:80 -25 w | -25 -26 -29 -27
40:e3:d6:5d:c5:e2 -84 w | -84 -84 -83 -83
40:e3:d6:5d:54:e2 -81 w | -81 -83 -78 -79
40:e3:d6:5e:d3:45 -73 w | -73 -71 -71 -74
40:e3:d6:5d:9c:65 -72 w | -72 -73 -73 -73
40:e3:d6:5d:80:05 -87 w | -87 -84 -84 -84
34:fc:b9:7a:cb:a2 -53 w | -53 -53 -52
84:d4:7e:73:d7:05 -82 w | -82 -82 -81 -81
3c:52:82:a8:98:ae -78 w | -78 -83 -89 -81
34:fc:b9:7a:cb:a0 -53 w | -53 -53 -52
40:e3:d6:5d:54:e4 -83 w | -83 -79 -79
40:e3:d6:5d:c8:81 -48 w | -48 -46 -47 -47
40:e3:d6:5d:80:02 -88 w | -88 -84 -84 -84
40:e3:d6:5d:c5:e4 -84 w | -84 -83 -83 -82
40:e3:d6:5e:d3:42 -72 w | -72 -76 -74
40:e3:d6:5d:c5:e0 -82 w | -82 -83 -83 -83
40:e3:d6:5e:d3:41 -72 w | -72 -72 -72
40:e3:d6:5d:80:04 -87 w | -87 -85 -85 -85

3.40 8.00 59 2018-10-23-20:33:46
f5:93:4c:a6:d9:16 -81 b | -81 -82 -77
cf:20:a9:08:f3:ed -93 b | -93 -96
ac:23:3f:20:9c:ac -75 b | -75 -65
c1:00:91:00:01:2d -77 b | -77 -77
c5:58:c1:21:15:fe -92 b | -92 -99 -99
c1:00:91:00:01:2f -70 b | -70 -72
ac:23:3f:20:8d:34 -75 b | -75 -71
ac:23:3f:20:8d:3b -71 b | -71 -71 -71
ac:23:3f:20:94:cc -70 b | -70 -71
ac:23:3f:20:8d:32 -76 b | -76 -75
ac:23:3f:20:8d:39 -62 b | -62 -62
ac:23:3f:20:94:cd -74 b | -74 -77
ac:23:3f:20:9c:ae -65 b | -65 -65
ac:23:3f:20:8d:37 -85 b | -85 -76
ac:23:3f:20:8d:36 -74 b | -74 -73
e5:a2:a5:b0:d4:ad -81 b | -81 -82 -76 -76
ac:23:3f:20:8d:2f -67 b | -67 -61
ac:23:3f:20:8d:35 -76 b | -76 -76 -80
ac:23:3f:20:8d:3a -81 b | -81 -74 -74
ac:23:3f:20:8d:30 -71 b | -71 -68
ac:23:3f:20:8d:33 -73 b | -73 -71
ac:23:3f:20:8d:38 -81 b | -81 -77
34:fc:b9:7a:cb:a3 -49 w | -49 -51 -52 -52
40:e3:d6:5d:54:e5 -80 w | -80 -82 -82 -80
40:e3:d6:5d:9c:64 -67 w | -67 -67 -68 -68
40:e3:d6:5d:9c:60 -68 w | -68 -68 -68 -68
34:fc:b9:7a:cb:a4 -49 w | -49 -51 -56 -52
40:e3:d6:5d:c8:85 -43 w | -43 -41 -41 -41
40:e3:d6:5d:54:e1 -82 w | -82 -83 -83 -82
40:e3:d6:5e:d3:44 -78 w | -78 -78
40:e3:d6:5d:9c:61 -67 w | -67 -67 -68 -68
40:e3:d6:5d:54:e0 -80 w | -80 -80 -82
40:e3:d6:5d:c8:84 -47 w | -47 -45 -46 -46
40:e3:d6:5e:d3:40 -78 w | -78 -77 -77
84:d4:7e:73:d7:04 -84 w | -84 -84
84:d4:7e:73:d7:01 -78 w | -78 -78 -83 -83
40:e3:d6:5d:c8:80 -48 w | -48 -45 -46 -46
40:e3:d6:5d:c5:e1 -86 w | -86 -86 -86 -86
40:e3:d6:5d:9c:62 -67 w | -67 -67 -68 -68
34:fc:b9:7a:cb:a1 -49 w | -49 -51 -52 -52
ac:84:c6:94:df:de -85 w | -85 -85 -85 -87
40:e3:d6:5d:c5:e5 -85 w | -85 -90 -90 -90
40:e3:d6:5d:c8:82 -48 w | -48 -45 -46 -46
b0:6e:bf:3b:ab:80 -34 w | -34 -39 -43 -40
40:e3:d6:5d:c5:e2 -87 w | -87 -87 -87 -87
40:e3:d6:5d:54:e2 -80 w | -80 -80 -81
40:e3:d6:5e:d3:45 -74 w | -74 -78 -78 -77
40:e3:d6:5d:9c:65 -65 w | -65 -65 -66 -66
40:e3:d6:5d:80:05 -84 w | -84 -83 -85 -85
34:fc:b9:7a:cb:a2 -49 w | -49 -52 -52 -52
84:d4:7e:73:d7:05 -81 w | -81 -81 -81 -81
3c:52:82:a8:98:ae -78 w | -78 -76 -80 -76
84:d4:7e:73:d7:02 -84 w | -84 -84
34:fc:b9:7a:cb:a0 -49 w | -49 -51 -52 -52
